   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16878    1.110    0.000    1.118    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/librosa/core/audio.py:1046(__lpc)
     2813    0.912    0.000    0.952    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/linalg/linalg.py:994(eigvals)
    77504    0.239    0.000    0.239    0.000 {built-in method numpy.core._multiarray_umath.correlate}
        1    0.213    0.213    5.654    5.654 /Users/fcucchietti/Code/ICHOIR/vocal-tract-grad/gfm.py:200(process)
     8439    0.211    0.000    0.211    0.000 {built-in method scipy.signal._sigtools._linear_filter}
    25317    0.158    0.000    1.252    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/_signaltools.py:1954(lfilter)
    16878    0.151    0.000    0.748    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/shape_base.py:267(apply_along_axis)
    16878    0.130    0.000    1.788    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/librosa/core/audio.py:949(lpc)
    77504    0.122    0.000    0.403    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numeric.py:738(convolve)
     5626    0.115    0.000    0.208    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/windows/_windows.py:40(general_cosine)
     2813    0.111    0.000    0.146    0.000 /Users/fcucchietti/Code/ICHOIR/vocal-tract-grad/gfm.py:304(<listcomp>)
106900/78768    0.107    0.000    1.564    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/lazy_loader/__init__.py:77(__getattr__)
     8439    0.095    0.000    0.124    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/function_base.py:24(linspace)
107384/106914    0.092    0.000    1.204    0.000 <frozen importlib._bootstrap>:1165(_find_and_load)
     2813    0.086    0.000    3.061    0.001 /Users/fcucchietti/Code/ICHOIR/vocal-tract-grad/gfm_iaif.py:16(gfm_iaif)
107003/106914    0.080    0.000    1.427    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/importlib/__init__.py:108(import_module)
    16880    0.077    0.000    0.113    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
6971/6934    0.077    0.000    0.134    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:190(__call__)
      439    0.072    0.000    0.072    0.000 {method 'read' of '_io.BufferedReader' objects}
401164/301082    0.071    0.000    1.031    0.000 {built-in method builtins.getattr}
   257852    0.068    0.000    0.068    0.000 {built-in method numpy.array}
107003/106914    0.064    0.000    1.327    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
    57510    0.064    0.000    0.095    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/shape_base.py:23(atleast_1d)
    16878    0.058    0.000    0.232    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/index_tricks.py:663(__init__)
     1250    0.058    0.000    0.268    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/polynomial.py:45(poly)
1905/1901    0.058    0.000    0.096    0.000 {built-in method builtins.__build_class__}
       69    0.055    0.001    0.134    0.002 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/inspect.py:969(getmodule)
   141902    0.050    0.000    0.050    0.000 {built-in method numpy.asarray}
   107003    0.049    0.000    0.059    0.000 <frozen importlib._bootstrap>:1101(_sanity_check)
    23757    0.047    0.000    0.047    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    16879    0.044    0.000    0.132    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/librosa/util/utils.py:238(valid_audio)
      364    0.042    0.000    0.042    0.000 {built-in method io.open_code}
    16880    0.042    0.000    0.051    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numeric.py:67(zeros_like)
      364    0.042    0.000    0.042    0.000 {built-in method marshal.loads}
479394/478951    0.039    0.000    0.039    0.000 {built-in method builtins.len}
    59073    0.037    0.000    0.064    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
   380329    0.037    0.000    0.038    0.000 {built-in method builtins.isinstance}
     2813    0.037    0.000    0.044    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/function_base.py:3128(hanning)
    33757    0.036    0.000    0.076    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numerictypes.py:357(issubdtype)
    95646    0.036    0.000    0.036    0.000 {built-in method numpy.zeros}
     5626    0.032    0.000    0.141    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:533(pad)
    15/14    0.032    0.002    0.032    0.002 {built-in method _imp.create_dynamic}
   135962    0.031    0.000    0.031    0.000 {built-in method numpy.asanyarray}
      711    0.030    0.000    0.031    0.000 <frozen importlib._bootstrap>:100(acquire)
     5626    0.030    0.000    0.040    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
    16878    0.029    0.000    0.113    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/librosa/util/utils.py:1812(tiny)
   218849    0.029    0.000    0.036    0.000 {method 'get' of 'dict' objects}
     2813    0.029    0.000    1.031    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/polynomial.py:172(roots)
    16882    0.028    0.000    0.028    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/getlimits.py:589(smallest_normal)
    67514    0.027    0.000    0.036    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numerictypes.py:283(issubclass_)
